,ID-Cliente,Nro Llamadas,ID-Llegada
0,1,3,3317
1,1,3,237
3,1,3,269
6,2,3,349
7,2,3,440
9,2,3,67
12,3,2,208
13,3,2,181
15,4,2,274
16,4,2,67
18,5,2,78
19,5,2,148
21,6,3,276
22,6,3,2408
24,6,3,78
27,7,2,3476
28,7,2,134
30,8,2,2651
31,8,2,71
33,11,1,337
34,13,3,212
35,13,3,168
37,13,3,301
40,14,3,223
41,14,3,136
43,14,3,157
46,15,1,406
47,16,1,404
48,17,2,3077
49,17,2,2190
51,20,2,224
52,20,2,343
54,21,3,3093
55,21,3,2810
57,21,3,172
60,22,3,175
61,22,3,2575
63,22,3,3095
66,23,1,2610
67,24,3,2224
68,24,3,301
70,24,3,454
73,26,2,2911
74,26,2,3015
76,27,1,2667
77,28,3,2255
78,28,3,42
80,28,3,2563
83,29,2,3145
84,29,2,3339
86,51,3,285
87,51,3,83
89,51,3,311
92,55,3,108
93,55,3,438
95,55,3,2160
98,56,2,2806
99,56,2,2285
101,57,1,2496
102,58,2,453
103,58,2,418
105,59,3,331
106,59,3,295
108,59,3,2624
111,60,3,419
112,60,3,57
114,60,3,177
117,61,3,249
118,61,3,215
120,61,3,339
123,62,1,434
124,64,1,222
125,65,1,175
126,66,2,340
127,66,2,155
129,67,2,239
130,67,2,23
132,68,2,2300
133,68,2,2397
135,69,1,2683
136,70,1,95
137,71,1,102
138,73,3,377
139,73,3,54
141,73,3,110
144,74,3,201
145,74,3,304
147,74,3,455
150,75,3,2503
151,75,3,481
153,75,3,111
156,76,1,3391
157,77,3,192
158,77,3,275
160,77,3,2493
163,78,3,18
164,78,3,300
166,78,3,3048
169,81,3,365
170,81,3,392
172,81,3,211
175,84,3,444
176,84,3,3144
178,84,3,139
181,85,2,221
182,85,2,2596
184,86,3,131
185,86,3,424
187,86,3,2085
190,89,2,411
191,89,2,203
193,90,2,319
194,90,2,132
196,91,3,183
197,91,3,16
199,91,3,145
202,92,1,279
203,94,2,220
204,94,2,198
206,96,1,404
207,97,1,2116
208,98,3,3351
209,98,3,367
211,98,3,64
214,99,3,52
215,99,3,128
217,99,3,120
220,101,3,115
221,101,3,101
223,101,3,267
226,102,3,200
227,102,3,160
229,102,3,2946
232,104,1,114
233,105,2,431
234,105,2,344
236,108,2,386
237,108,2,3236
239,142,2,465
240,142,2,3207
242,144,3,3045
243,144,3,355
245,144,3,215
248,145,3,478
249,145,3,364
251,145,3,348
254,147,3,318
255,147,3,373
257,147,3,15
260,148,2,2232
261,148,2,340
263,150,7,151
264,150,7,52
266,150,7,3398
269,150,7,3379
273,150,7,2837
278,150,7,359
284,150,7,56
291,151,4,48
292,151,4,28
294,151,4,86
297,151,4,97
301,152,7,2659
302,152,7,137
304,152,7,3308
307,152,7,499
311,152,7,13
316,152,7,151
322,152,7,443
329,153,5,2077
330,153,5,352
332,153,5,3055
335,153,5,326
339,153,5,321
344,154,7,3142
345,154,7,4
347,154,7,2204
350,154,7,431
354,154,7,18
359,154,7,216
365,154,7,261
372,155,5,2126
373,155,5,2596
375,155,5,2524
378,155,5,70
382,155,5,2070
387,156,6,2640
388,156,6,219
390,156,6,266
393,156,6,3220
397,156,6,111
402,156,6,145
408,157,4,215
409,157,4,435
411,157,4,413
414,157,4,225
418,158,7,2324
419,158,7,3417
421,158,7,2121
424,158,7,126
428,158,7,3485
433,158,7,171
439,158,7,3044
446,159,4,403
447,159,4,84
449,159,4,3085
452,159,4,267
456,160,7,2968
457,160,7,176
459,160,7,412
462,160,7,2521
466,160,7,2525
471,160,7,219
477,160,7,369
484,161,5,2822
485,161,5,108
487,161,5,2009
490,161,5,182
494,161,5,3399
499,162,5,305
500,162,5,172
502,162,5,197
505,162,5,221
509,162,5,433
514,163,5,355
515,163,5,324
517,163,5,475
520,163,5,256
524,163,5,386
529,164,4,3
530,164,4,55
532,164,4,2376
535,164,4,150
539,165,6,100
540,165,6,2540
542,165,6,157
545,165,6,2494
549,165,6,2851
554,165,6,217
560,166,4,474
561,166,4,3197
563,166,4,442
566,166,4,349
570,167,6,3299
571,167,6,479
573,167,6,293
576,167,6,210
580,167,6,3173
585,167,6,2287
591,168,6,30
592,168,6,2743
594,168,6,3396
597,168,6,3321
601,168,6,435
606,168,6,2852
612,169,7,219
613,169,7,297
615,169,7,461
618,169,7,2190
622,169,7,152
627,169,7,122
633,169,7,2286
640,170,6,478
641,170,6,53
643,170,6,173
646,170,6,170
650,170,6,362
655,170,6,263
661,171,6,189
662,171,6,2807
664,171,6,3425
667,171,6,396
671,171,6,241
676,171,6,2711
682,172,7,2613
683,172,7,3050
685,172,7,436
688,172,7,177
692,172,7,75
697,172,7,3196
703,172,7,3055
710,173,6,266
711,173,6,252
713,173,6,10
716,173,6,218
720,173,6,95
725,173,6,201
731,174,4,3121
732,174,4,464
734,174,4,318
737,174,4,343
741,175,6,205
742,175,6,247
744,175,6,440
747,175,6,70
751,175,6,2270
756,175,6,404
762,176,7,212
763,176,7,3021
765,176,7,278
768,176,7,143
772,176,7,202
777,176,7,3337
783,176,7,172
790,177,4,2139
791,177,4,478
793,177,4,22
796,177,4,2160
800,178,5,86
801,178,5,75
803,178,5,394
806,178,5,222
810,178,5,456
815,179,4,188
816,179,4,2726
818,179,4,113
821,179,4,497
825,180,7,311
826,180,7,57
828,180,7,145
831,180,7,364
835,180,7,29
840,180,7,3151
846,180,7,260
853,181,7,270
854,181,7,498
856,181,7,334
859,181,7,48
863,181,7,255
868,181,7,427
874,181,7,2751
881,182,7,3478
882,182,7,55
884,182,7,321
887,182,7,398
891,182,7,2105
896,182,7,2856
902,182,7,2932
909,183,4,3378
910,183,4,224
912,183,4,150
915,183,4,3293
919,184,5,398
920,184,5,408
922,184,5,2465
925,184,5,292
929,184,5,2486
934,185,7,354
935,185,7,2409
937,185,7,33
940,185,7,324
944,185,7,2656
949,185,7,2790
955,185,7,212
962,186,7,2124
963,186,7,2537
965,186,7,2208
968,186,7,166
972,186,7,467
977,186,7,341
983,186,7,399
990,187,5,433
991,187,5,2689
993,187,5,2200
996,187,5,2384
1000,187,5,2372
1005,188,6,366
1006,188,6,90
1008,188,6,3123
1011,188,6,188
1015,188,6,157
1020,188,6,2480
1026,189,6,64
1027,189,6,184
1029,189,6,3313
1032,189,6,391
1036,189,6,458
1041,189,6,297
1047,190,4,109
1048,190,4,211
1050,190,4,193
1053,190,4,234
1057,191,6,2635
1058,191,6,318
1060,191,6,3171
1063,191,6,2291
1067,191,6,2638
1072,191,6,4
1078,192,6,2293
1079,192,6,3123
1081,192,6,2895
1084,192,6,477
1088,192,6,194
1093,192,6,267
1099,193,7,126
1100,193,7,297
1102,193,7,55
1105,193,7,482
1109,193,7,382
1114,193,7,232
1120,193,7,448
1127,194,6,382
1128,194,6,2370
1130,194,6,163
1133,194,6,2595
1137,194,6,33
1142,194,6,436
1148,195,4,14
1149,195,4,2393
1151,195,4,268
1154,195,4,355
1158,196,7,2915
1159,196,7,2026
1161,196,7,488
1164,196,7,499
1168,196,7,2179
1173,196,7,66
1179,196,7,2690
1186,197,6,2956
1187,197,6,80
1189,197,6,16
1192,197,6,32
1196,197,6,78
1201,197,6,304
1207,198,6,2715
1208,198,6,394
1210,198,6,2066
1213,198,6,101
1217,198,6,207
1222,198,6,2808
1228,199,6,155
1229,199,6,305
1231,199,6,283
1234,199,6,107
1238,199,6,116
1243,199,6,480
1249,200,6,381
1250,200,6,159
1252,200,6,2569
1255,200,6,2222
1259,200,6,321
1264,200,6,189
1270,201,6,378
1271,201,6,3382
1273,201,6,2419
1276,201,6,2846
1280,201,6,360
1285,201,6,34
1291,202,5,132
1292,202,5,202
1294,202,5,434
1297,202,5,106
1301,202,5,2457
1306,203,5,3439
1307,203,5,331
1309,203,5,274
1312,203,5,2163
1316,203,5,3361
1321,204,6,3489
1322,204,6,241
1324,204,6,73
