,ID-Cliente,Nro Llamadas,ID-Llegada
0,1,3,260
1,1,3,165
3,1,3,3193
6,2,3,2417
7,2,3,312
9,2,3,2197
12,3,2,418
13,3,2,180
15,4,2,2552
16,4,2,2271
18,5,2,298
19,5,2,233
21,6,3,2109
22,6,3,3480
24,6,3,26
27,7,2,126
28,7,2,261
30,8,2,276
31,8,2,357
33,11,1,115
34,13,3,291
35,13,3,2811
37,13,3,463
40,14,3,32
41,14,3,2427
43,14,3,177
46,15,1,75
47,16,1,437
48,17,2,228
49,17,2,65
51,20,2,2299
52,20,2,381
54,21,3,370
55,21,3,144
57,21,3,36
60,22,3,459
61,22,3,2611
63,22,3,224
66,23,1,440
67,24,3,3417
68,24,3,88
70,24,3,311
73,26,2,136
74,26,2,85
76,27,1,113
77,28,3,389
78,28,3,427
80,28,3,371
83,29,2,337
84,29,2,274
86,34,3,2915
87,34,3,168
89,34,3,117
92,35,3,235
93,35,3,270
95,35,3,289
98,36,1,2647
99,37,2,293
100,37,2,427
102,38,3,3006
103,38,3,2483
105,38,3,2345
108,39,2,421
109,39,2,400
111,42,1,3114
112,43,3,3353
113,43,3,125
115,43,3,157
118,45,2,69
119,45,2,363
121,46,1,185
122,47,1,430
123,49,1,439
124,50,2,345
125,50,2,185
127,51,3,341
128,51,3,18
130,51,3,2422
133,55,3,329
134,55,3,2982
136,55,3,193
139,56,2,169
140,56,2,236
142,57,1,86
143,58,2,3335
144,58,2,76
146,59,3,53
147,59,3,3456
149,59,3,2872
152,60,3,2917
153,60,3,290
155,60,3,491
158,61,3,358
159,61,3,275
161,61,3,390
164,62,1,408
165,64,1,2913
166,65,1,165
167,66,2,139
168,66,2,291
170,67,2,247
171,67,2,2879
173,68,2,75
174,68,2,174
176,69,1,2655
177,70,1,2428
178,71,1,32
179,73,3,311
180,73,3,86
182,73,3,17
185,74,3,61
186,74,3,338
188,74,3,378
191,75,3,152
192,75,3,10
194,75,3,254
197,76,1,2669
198,77,3,124
199,77,3,377
201,77,3,176
204,78,3,448
205,78,3,90
207,78,3,83
210,81,3,68
211,81,3,459
213,81,3,412
216,84,3,197
217,84,3,170
219,84,3,3497
222,85,2,331
223,85,2,2608
225,86,3,30
226,86,3,251
228,86,3,2592
231,89,2,5
232,89,2,170
234,90,2,321
235,90,2,225
237,91,3,269
238,91,3,34
240,91,3,238
243,92,1,187
244,94,2,443
245,94,2,404
247,96,1,456
248,97,1,170
249,98,3,430
250,98,3,169
252,98,3,199
255,99,3,429
256,99,3,258
258,99,3,2
261,101,3,362
262,101,3,330
264,101,3,280
267,102,3,15
268,102,3,116
270,102,3,439
273,104,1,145
274,105,2,2080
275,105,2,67
277,108,2,129
278,108,2,26
280,109,2,3143
281,109,2,2448
283,110,1,10
284,111,3,184
285,111,3,305
287,111,3,450
290,112,2,268
291,112,2,39
293,113,2,172
294,113,2,3015
296,114,3,243
297,114,3,203
299,114,3,2828
302,115,1,437
303,117,3,3444
304,117,3,333
306,117,3,2242
309,119,3,2490
310,119,3,331
312,119,3,299
315,120,2,111
316,120,2,320
318,121,1,2731
319,122,1,313
320,123,3,3370
321,123,3,253
323,123,3,392
326,124,1,413
327,125,2,66
328,125,2,375
330,126,3,121
331,126,3,76
333,126,3,171
336,127,3,2539
337,127,3,3381
339,127,3,3184
342,128,2,32
343,128,2,85
345,129,2,282
346,129,2,2368
348,130,3,278
349,130,3,58
351,130,3,94
354,131,2,430
355,131,2,2664
357,133,3,385
358,133,3,462
360,133,3,130
363,135,2,282
364,135,2,37
366,136,1,428
367,137,2,239
368,137,2,98
370,138,1,460
371,139,3,109
372,139,3,269
374,139,3,491
377,140,2,77
378,140,2,443
380,142,2,177
381,142,2,162
383,144,3,435
384,144,3,345
386,144,3,3137
389,145,3,141
390,145,3,85
392,145,3,38
395,147,3,364
396,147,3,2095
398,147,3,3021
401,148,2,140
402,148,2,60
404,150,7,402
405,150,7,2485
407,150,7,271
410,150,7,10
414,150,7,162
419,150,7,3461
425,150,7,101
432,151,4,483
433,151,4,197
435,151,4,341
438,151,4,58
442,152,7,16
443,152,7,363
445,152,7,2857
448,152,7,356
452,152,7,356
457,152,7,107
463,152,7,359
470,153,5,498
471,153,5,126
473,153,5,278
476,153,5,331
480,153,5,167
485,154,7,61
486,154,7,309
488,154,7,2
491,154,7,360
495,154,7,102
500,154,7,33
506,154,7,138
513,155,5,195
514,155,5,365
516,155,5,2870
519,155,5,437
523,155,5,345
528,156,6,136
529,156,6,350
531,156,6,414
534,156,6,310
538,156,6,2305
543,156,6,38
549,157,4,458
550,157,4,2733
552,157,4,3058
555,157,4,2
559,158,7,280
560,158,7,134
562,158,7,478
565,158,7,409
569,158,7,224
574,158,7,136
580,158,7,320
587,159,4,179
588,159,4,62
590,159,4,5
593,159,4,2329
597,160,7,499
598,160,7,137
600,160,7,236
603,160,7,242
607,160,7,302
612,160,7,2202
618,160,7,255
625,161,5,439
626,161,5,31
628,161,5,292
631,161,5,50
635,161,5,110
640,162,5,122
641,162,5,3
643,162,5,368
646,162,5,219
650,162,5,254
655,163,5,413
656,163,5,258
658,163,5,2946
661,163,5,3158
665,163,5,406
670,164,4,447
671,164,4,56
673,164,4,388
676,164,4,463
680,165,6,309
681,165,6,2117
683,165,6,490
686,165,6,2731
690,165,6,31
695,165,6,28
701,166,4,2440
702,166,4,177
704,166,4,308
707,166,4,463
711,167,6,364
712,167,6,2385
714,167,6,436
717,167,6,356
721,167,6,95
726,167,6,251
732,168,6,450
733,168,6,2
735,168,6,268
738,168,6,337
742,168,6,420
747,168,6,351
753,169,7,448
754,169,7,406
756,169,7,350
759,169,7,2670
763,169,7,365
768,169,7,396
774,169,7,194
781,170,6,159
782,170,6,99
784,170,6,203
787,170,6,2155
791,170,6,369
796,170,6,338
802,171,6,345
803,171,6,378
805,171,6,389
808,171,6,3415
812,171,6,131
817,171,6,2936
823,172,7,186
824,172,7,180
826,172,7,25
829,172,7,268
833,172,7,16
838,172,7,49
844,172,7,487
851,173,6,83
852,173,6,412
854,173,6,165
857,173,6,416
861,173,6,258
866,173,6,57
872,174,4,2936
873,174,4,380
875,174,4,375
878,174,4,78
882,175,6,276
883,175,6,261
885,175,6,195
888,175,6,353
892,175,6,431
897,175,6,183
903,176,7,25
904,176,7,326
906,176,7,164
909,176,7,7
913,176,7,377
918,176,7,292
924,176,7,45
931,177,4,499
932,177,4,198
934,177,4,168
937,177,4,364
941,178,5,156
942,178,5,346
944,178,5,91
947,178,5,495
951,178,5,94
956,179,4,3337
957,179,4,93
959,179,4,114
962,179,4,395
966,180,7,2422
967,180,7,436
969,180,7,114
972,180,7,2580
976,180,7,3055
981,180,7,273
987,180,7,424
994,181,7,213
995,181,7,2412
997,181,7,2267
1000,181,7,148
1004,181,7,430
1009,181,7,2849
1015,181,7,177
1022,182,7,384
1023,182,7,37
1025,182,7,462
1028,182,7,138
1032,182,7,448
1037,182,7,2269
1043,182,7,197
1050,183,4,216
1051,183,4,137
1053,183,4,429
1056,183,4,235
1060,184,5,49
1061,184,5,30
1063,184,5,136
1066,184,5,2940
1070,184,5,26
1075,185,7,2882
1076,185,7,432
1078,185,7,10
1081,185,7,270
1085,185,7,133
1090,185,7,282
1096,185,7,416
1103,186,7,381
1104,186,7,2926
1106,186,7,223
1109,186,7,2846
1113,186,7,286
1118,186,7,221
1124,186,7,203
1131,187,5,461
1132,187,5,400
1134,187,5,3213
1137,187,5,70
1141,187,5,2051
1146,188,6,150
1147,188,6,211
1149,188,6,376
1152,188,6,231
1156,188,6,2675
1161,188,6,81
1167,189,6,280
1168,189,6,2515
1170,189,6,321
1173,189,6,209
1177,189,6,433
1182,189,6,354
1188,190,4,2269
1189,190,4,2577
1191,190,4,8
1194,190,4,485
1198,191,6,471
1199,191,6,2699
1201,191,6,2764
1204,191,6,370
1208,191,6,2926
1213,191,6,308
1219,192,6,2120
1220,192,6,22
1222,192,6,387
1225,192,6,413
1229,192,6,128
1234,192,6,14
1240,193,7,381
1241,193,7,3462
1243,193,7,323
1246,193,7,369
1250,193,7,483
1255,193,7,3250
1261,193,7,489
1268,194,6,55
1269,194,6,361
1271,194,6,469
1274,194,6,210
1278,194,6,107
1283,194,6,3495
1289,195,4,490
1290,195,4,494
1292,195,4,259
1295,195,4,2466
1299,196,7,3341
1300,196,7,286
1302,196,7,271
1305,196,7,464
1309,196,7,3285
1314,196,7,2502
1320,196,7,139
1327,197,6,118
1328,197,6,346
1330,197,6,3026
1333,197,6,379
1337,197,6,128
1342,197,6,171
1348,198,6,2469
1349,198,6,208
1351,198,6,2725
1354,198,6,323
1358,198,6,425
1363,198,6,263
1369,199,6,2152
1370,199,6,2954
1372,199,6,2640
1375,199,6,122
1379,199,6,430
1384,199,6,24
1390,200,6,332
1391,200,6,332
1393,200,6,2590
1396,200,6,497
1400,200,6,141
1405,200,6,123
1411,201,6,384
1412,201,6,153
1414,201,6,2665
1417,201,6,429
1421,201,6,403
1426,201,6,117
1432,202,5,2324
1433,202,5,317
1435,202,5,2704
1438,202,5,344
1442,202,5,178
1447,203,5,474
1448,203,5,2779
1450,203,5,2185
1453,203,5,137
1457,203,5,407
1462,204,6,440
1463,204,6,252
1465,204,6,2616
1468,204,6,2571
1472,204,6,228
1477,204,6,94
1483,205,4,178
1484,205,4,231
1486,205,4,458
1489,205,4,104
1493,206,4,2166
1494,206,4,53
1496,206,4,380
1499,206,4,445
1503,207,6,40
1504,207,6,189
1506,207,6,2513
1509,207,6,46
1513,207,6,2557
1518,207,6,400
1524,208,6,426
1525,208,6,481
1527,208,6,217
1530,208,6,194
1534,208,6,248
1539,208,6,181
1545,209,7,455
1546,209,7,298
1548,209,7,67
1551,209,7,453
1555,209,7,312
1560,209,7,444
1566,209,7,428
1573,210,6,180
1574,210,6,171
1576,210,6,2327
1579,210,6,2052
1583,210,6,64
1588,210,6,450
1594,211,7,91
1595,211,7,3266
1597,211,7,2596
1600,211,7,140
1604,211,7,476
1609,211,7,110
1615,211,7,3336
1622,212,5,150
1623,212,5,3369
1625,212,5,132
1628,212,5,70
1632,212,5,164
1637,213,5,297
1638,213,5,2
1640,213,5,80
1643,213,5,216
1647,213,5,414
1652,214,6,366
1653,214,6,3165
1655,214,6,440
1658,214,6,53
1662,214,6,410
1667,214,6,270
1673,215,5,441
1674,215,5,344
1676,215,5,3427
1679,215,5,280
1683,215,5,446
1688,216,7,96
1689,216,7,306
1691,216,7,194
1694,216,7,211
1698,216,7,433
1703,216,7,8
1709,216,7,299
1716,217,4,227
1717,217,4,3477
1719,217,4,102
1722,217,4,157
1726,218,5,221
1727,218,5,287
1729,218,5,388
1732,218,5,140
1736,218,5,24
1741,219,5,228
1742,219,5,167
1744,219,5,157
1747,219,5,402
1751,219,5,383
1756,220,6,43
1757,220,6,185
1759,220,6,60
1762,220,6,287
1766,220,6,307
1771,220,6,15
1777,221,6,205
1778,221,6,260
1780,221,6,300
1783,221,6,296
1787,221,6,3421
1792,221,6,363
1798,222,6,2561
1799,222,6,79
1801,222,6,151
1804,222,6,3497
1808,222,6,2550
1813,222,6,241
1819,223,5,478
1820,223,5,179
1822,223,5,2269
1825,223,5,124
1829,223,5,87
1834,224,7,292
1835,224,7,272
1837,224,7,2100
1840,224,7,39
1844,224,7,3277
1849,224,7,369
1855,224,7,32
1862,225,7,3221
1863,225,7,121
1865,225,7,387
1868,225,7,177
1872,225,7,134
1877,225,7,414
1883,225,7,413
1890,226,5,2661
1891,226,5,328
1893,226,5,251
1896,226,5,182
1900,226,5,288
1905,227,4,358
1906,227,4,426
1908,227,4,304
1911,227,4,406
1915,228,7,188
1916,228,7,117
1918,228,7,297
1921,228,7,2845
1925,228,7,352
1930,228,7,182
1936,228,7,290
1943,229,7,259
