id,ID-Cliente,Nro Llamadas,ID-Llegada
0,1,3,57
1,1,3,463
3,1,3,2800
6,2,3,141
7,2,3,3220
9,2,3,313
12,3,2,2794
13,3,2,110
15,4,2,215
16,4,2,2411
18,5,2,484
19,5,2,323
21,6,3,74
22,6,3,73
24,6,3,2403
27,7,2,195
28,7,2,2043
30,8,2,2314
31,8,2,3462
33,11,1,281
34,13,3,53
35,13,3,64
37,13,3,100
40,14,3,177
41,14,3,141
43,14,3,389
46,15,1,2981
47,16,1,206
48,17,2,2286
49,17,2,145
51,20,2,319
52,20,2,413
54,21,3,84
55,21,3,461
57,21,3,2474
60,22,3,457
61,22,3,369
63,22,3,2907
66,23,1,437
67,24,3,2297
68,24,3,2591
70,24,3,217
73,26,2,2779
74,26,2,376
76,27,1,195
77,28,3,2311
78,28,3,2869
80,28,3,2475
83,29,2,363
84,29,2,327
86,34,3,423
87,34,3,234
89,34,3,2668
92,35,3,2644
93,35,3,2614
95,35,3,225
98,36,1,47
99,37,2,89
100,37,2,416
102,38,3,136
103,38,3,229
105,38,3,282
108,39,2,23
109,39,2,2589
111,42,1,2762
112,43,3,353
113,43,3,2541
115,43,3,328
118,45,2,2031
119,45,2,2317
121,46,1,2343
122,47,1,3000
123,49,1,320
124,50,2,30
125,50,2,409
127,51,3,159
128,51,3,3254
130,51,3,480
133,55,3,470
134,55,3,2396
136,55,3,130
139,56,2,169
140,56,2,409
142,57,1,98
143,58,2,117
144,58,2,33
146,59,3,3300
147,59,3,3463
149,59,3,3276
152,60,3,236
153,60,3,138
155,60,3,2936
158,61,3,124
159,61,3,2201
161,61,3,75
164,62,1,29
165,64,1,2781
166,65,1,167
167,66,2,333
168,66,2,107
170,67,2,423
171,67,2,95
173,68,2,54
174,68,2,120
176,69,1,30
177,70,1,219
178,71,1,2539
179,73,3,2898
180,73,3,466
182,73,3,162
185,74,3,73
186,74,3,118
188,74,3,189
191,75,3,441
192,75,3,2405
194,75,3,2937
197,76,1,84
198,77,3,170
199,77,3,2636
201,77,3,426
204,78,3,2690
205,78,3,211
207,78,3,2787
210,81,3,2770
211,81,3,3123
213,81,3,237
216,84,3,2922
217,84,3,27
219,84,3,487
222,85,2,223
223,85,2,476
225,86,3,2104
226,86,3,155
228,86,3,374
231,89,2,259
232,89,2,306
234,90,2,350
235,90,2,378
237,91,3,3315
238,91,3,44
240,91,3,474
243,92,1,254
244,94,2,2563
245,94,2,279
247,96,1,2909
248,97,1,106
249,98,3,3019
250,98,3,458
252,98,3,201
255,99,3,134
256,99,3,226
258,99,3,426
261,101,3,392
262,101,3,264
264,101,3,3167
267,102,3,321
268,102,3,46
270,102,3,2616
273,104,1,122
274,105,2,242
275,105,2,61
277,108,2,269
278,108,2,150
280,109,2,2292
281,109,2,432
283,110,1,165
284,111,3,2881
285,111,3,373
287,111,3,2195
290,112,2,2649
291,112,2,81
293,113,2,146
294,113,2,299
296,114,3,194
297,114,3,3480
299,114,3,2706
302,115,1,3327
303,117,3,2415
304,117,3,339
306,117,3,3187
309,119,3,236
310,119,3,426
312,119,3,365
315,120,2,2392
316,120,2,295
318,121,1,2699
319,122,1,171
320,123,3,2327
321,123,3,486
323,123,3,2536
326,124,1,280
327,125,2,3148
328,125,2,41
330,126,3,491
331,126,3,97
333,126,3,3048
336,127,3,128
337,127,3,3491
339,127,3,3056
342,128,2,2993
343,128,2,2846
345,129,2,2698
346,129,2,40
348,130,3,414
349,130,3,2419
351,130,3,164
354,131,2,180
355,131,2,2430
357,133,3,148
358,133,3,169
360,133,3,2944
363,135,2,232
364,135,2,2055
366,136,1,468
367,137,2,272
368,137,2,378
370,138,1,2730
371,139,3,375
372,139,3,33
374,139,3,3064
377,140,2,167
378,140,2,2208
380,156,6,223
381,156,6,11
383,156,6,81
386,156,6,2619
390,156,6,272
395,156,6,2938
401,157,4,3105
402,157,4,2199
404,157,4,3172
407,157,4,3165
411,158,7,2534
412,158,7,441
414,158,7,2603
417,158,7,2431
421,158,7,87
426,158,7,3260
432,158,7,494
439,159,4,145
440,159,4,113
442,159,4,457
445,159,4,2880
449,160,7,425
450,160,7,223
452,160,7,2775
455,160,7,2537
459,160,7,2446
464,160,7,253
470,160,7,75
477,161,5,3336
478,161,5,242
480,161,5,2019
483,161,5,373
487,161,5,3349
492,162,5,2384
493,162,5,466
495,162,5,73
498,162,5,53
502,162,5,2746
507,163,5,434
508,163,5,3281
510,163,5,440
513,163,5,3422
517,163,5,2894
522,164,4,142
523,164,4,2831
525,164,4,2288
528,164,4,2721
532,165,6,2666
533,165,6,3437
535,165,6,6
538,165,6,448
542,165,6,278
547,165,6,152
553,166,4,364
554,166,4,205
556,166,4,3326
559,166,4,261
563,167,6,2312
564,167,6,282
566,167,6,230
569,167,6,2972
573,167,6,2246
578,167,6,2619
584,168,6,298
585,168,6,2591
587,168,6,390
590,168,6,2661
594,168,6,303
599,168,6,153
605,169,7,3252
606,169,7,270
608,169,7,3198
611,169,7,2700
615,169,7,3436
620,169,7,2670
626,169,7,3476
633,170,6,19
634,170,6,9
636,170,6,2998
639,170,6,2971
643,170,6,375
648,170,6,179
654,171,6,132
655,171,6,2710
657,171,6,2221
