,ID-Cliente,Nro Llamadas,ID-Llegada
0,1,3,252
1,1,3,318
3,1,3,2583
6,2,3,116
7,2,3,125
9,2,3,221
12,3,2,35
13,3,2,383
15,4,2,465
16,4,2,232
18,5,2,174
19,5,2,189
21,6,3,61
22,6,3,3413
24,6,3,347
27,7,2,137
28,7,2,214
30,8,2,331
31,8,2,219
33,11,1,183
34,13,3,221
35,13,3,2830
37,13,3,155
40,14,3,24
41,14,3,365
43,14,3,2517
46,15,1,207
47,16,1,106
48,17,2,287
49,17,2,2437
51,20,2,305
52,20,2,37
54,21,3,360
55,21,3,209
57,21,3,462
60,22,3,72
61,22,3,99
63,22,3,201
66,23,1,464
67,24,3,389
68,24,3,189
70,24,3,221
73,26,2,2023
74,26,2,3030
76,27,1,309
77,28,3,152
78,28,3,188
80,28,3,249
83,29,2,422
84,29,2,308
86,51,3,141
87,51,3,450
89,51,3,26
92,55,3,2162
93,55,3,483
95,55,3,108
98,56,2,402
99,56,2,2500
101,57,1,180
102,58,2,312
103,58,2,78
105,59,3,17
106,59,3,3293
108,59,3,3275
111,60,3,9
112,60,3,219
114,60,3,285
117,61,3,226
118,61,3,248
120,61,3,2180
123,62,1,198
124,64,1,6
125,65,1,454
126,66,2,135
127,66,2,350
129,67,2,140
130,67,2,86
132,68,2,155
133,68,2,3156
135,69,1,2871
136,70,1,3
137,71,1,159
138,73,3,3268
139,73,3,460
141,73,3,133
144,74,3,2
145,74,3,2642
147,74,3,10
150,75,3,152
151,75,3,59
153,75,3,471
156,76,1,2753
157,77,3,110
158,77,3,141
160,77,3,2755
163,78,3,251
164,78,3,123
166,78,3,363
169,81,3,3237
170,81,3,2655
172,81,3,30
175,84,3,119
176,84,3,327
178,84,3,150
181,85,2,66
182,85,2,63
184,86,3,2730
185,86,3,13
187,86,3,2140
190,89,2,213
191,89,2,368
193,90,2,2324
194,90,2,104
196,91,3,136
197,91,3,290
199,91,3,164
202,92,1,444
203,94,2,2668
204,94,2,483
206,96,1,460
207,97,1,407
208,98,3,2972
209,98,3,193
211,98,3,109
214,99,3,454
215,99,3,123
217,99,3,2351
220,101,3,2632
221,101,3,383
223,101,3,12
226,102,3,270
227,102,3,391
229,102,3,470
232,104,1,257
233,105,2,438
234,105,2,294
236,108,2,192
237,108,2,273
239,109,2,2706
240,109,2,2730
242,110,1,278
243,111,3,3413
244,111,3,364
246,111,3,343
249,112,2,218
250,112,2,2531
252,113,2,307
253,113,2,451
255,114,3,13
256,114,3,3031
258,114,3,93
261,115,1,324
262,117,3,461
263,117,3,164
265,117,3,355
268,119,3,3122
269,119,3,397
271,119,3,354
274,120,2,25
275,120,2,391
277,121,1,3063
278,122,1,175
279,123,3,279
280,123,3,363
282,123,3,166
285,124,1,436
286,125,2,17
287,125,2,363
289,126,3,370
290,126,3,317
292,126,3,260
295,127,3,119
296,127,3,465
298,127,3,298
301,128,2,351
302,128,2,96
304,129,2,90
305,129,2,40
307,130,3,358
308,130,3,2468
310,130,3,448
313,131,2,175
314,131,2,2479
316,133,3,2324
317,133,3,204
319,133,3,97
322,135,2,196
323,135,2,285
325,136,1,420
326,137,2,280
327,137,2,324
329,138,1,375
330,139,3,76
331,139,3,2522
333,139,3,391
336,140,2,477
337,140,2,42
339,142,2,316
340,142,2,2917
342,144,3,103
343,144,3,226
345,144,3,3437
348,145,3,2617
349,145,3,2574
351,145,3,492
354,147,3,35
355,147,3,411
357,147,3,381
360,148,2,208
361,148,2,150
363,150,7,58
364,150,7,465
366,150,7,223
369,150,7,216
373,150,7,146
378,150,7,321
384,150,7,2458
391,151,4,260
392,151,4,165
394,151,4,433
397,151,4,2193
401,152,7,379
402,152,7,273
404,152,7,138
407,152,7,399
411,152,7,302
416,152,7,10
422,152,7,419
429,153,5,297
430,153,5,2729
432,153,5,251
435,153,5,487
439,153,5,319
444,154,7,203
445,154,7,291
447,154,7,441
450,154,7,408
454,154,7,246
459,154,7,190
465,154,7,138
472,155,5,499
473,155,5,428
475,155,5,3481
478,155,5,292
482,155,5,377
487,156,6,139
488,156,6,243
490,156,6,45
493,156,6,125
497,156,6,30
502,156,6,209
508,157,4,236
509,157,4,325
511,157,4,133
514,157,4,66
518,158,7,137
519,158,7,332
521,158,7,2029
524,158,7,363
528,158,7,2414
533,158,7,2217
539,158,7,348
546,159,4,118
547,159,4,249
549,159,4,2053
552,159,4,3111
556,160,7,337
557,160,7,35
559,160,7,442
562,160,7,187
566,160,7,227
571,160,7,428
577,160,7,429
584,161,5,3359
585,161,5,98
587,161,5,467
590,161,5,105
594,161,5,304
599,162,5,221
600,162,5,451
602,162,5,266
605,162,5,272
609,162,5,3305
614,163,5,3404
615,163,5,38
617,163,5,448
620,163,5,332
624,163,5,96
629,164,4,4
630,164,4,2633
632,164,4,487
635,164,4,281
639,165,6,88
640,165,6,441
642,165,6,2091
645,165,6,2323
649,165,6,171
654,165,6,287
660,166,4,3223
661,166,4,2493
663,166,4,2349
666,166,4,146
670,167,6,419
671,167,6,338
673,167,6,301
676,167,6,2828
680,167,6,284
685,167,6,303
691,168,6,273
692,168,6,210
694,168,6,250
697,168,6,403
701,168,6,3008
706,168,6,57
712,169,7,71
713,169,7,466
715,169,7,219
718,169,7,388
722,169,7,158
727,169,7,294
733,169,7,48
740,170,6,61
741,170,6,354
743,170,6,2251
746,170,6,2504
750,170,6,63
755,170,6,314
761,171,6,272
762,171,6,3298
764,171,6,283
767,171,6,423
771,171,6,200
776,171,6,277
782,172,7,361
783,172,7,2808
785,172,7,52
788,172,7,49
792,172,7,64
797,172,7,306
803,172,7,471
810,173,6,432
811,173,6,151
813,173,6,3220
816,173,6,7
820,173,6,239
825,173,6,3296
831,174,4,88
832,174,4,2326
834,174,4,208
837,174,4,434
841,175,6,222
842,175,6,286
844,175,6,320
847,175,6,3306
851,175,6,127
856,175,6,3344
862,176,7,226
863,176,7,2380
865,176,7,404
868,176,7,448
872,176,7,2673
877,176,7,271
883,176,7,296
890,177,4,34
891,177,4,3094
893,177,4,8
896,177,4,191
900,178,5,411
901,178,5,429
903,178,5,258
906,178,5,2209
910,178,5,177
915,179,4,151
916,179,4,2620
918,179,4,81
921,179,4,90
925,180,7,45
926,180,7,90
928,180,7,420
931,180,7,2684
935,180,7,7
940,180,7,465
946,180,7,325
953,181,7,360
954,181,7,297
956,181,7,281
959,181,7,55
963,181,7,411
968,181,7,81
974,181,7,248
981,182,7,24
982,182,7,455
984,182,7,175
987,182,7,228
991,182,7,44
996,182,7,102
1002,182,7,394
1009,183,4,21
1010,183,4,125
1012,183,4,340
1015,183,4,290
1019,184,5,188
1020,184,5,221
1022,184,5,13
1025,184,5,336
1029,184,5,376
1034,185,7,442
1035,185,7,330
1037,185,7,384
1040,185,7,2971
1044,185,7,174
1049,185,7,443
1055,185,7,231
1062,186,7,434
1063,186,7,352
1065,186,7,3060
1068,186,7,456
1072,186,7,447
1077,186,7,310
1083,186,7,155
1090,187,5,459
1091,187,5,271
1093,187,5,160
1096,187,5,316
1100,187,5,88
1105,188,6,336
1106,188,6,2614
1108,188,6,389
1111,188,6,288
1115,188,6,400
1120,188,6,395
1126,189,6,30
1127,189,6,323
1129,189,6,312
1132,189,6,491
1136,189,6,46
1141,189,6,108
1147,190,4,2504
1148,190,4,2840
1150,190,4,2962
1153,190,4,337
1157,191,6,248
1158,191,6,465
1160,191,6,2047
1163,191,6,77
1167,191,6,344
1172,191,6,3001
1178,192,6,235
1179,192,6,277
1181,192,6,426
1184,192,6,64
1188,192,6,50
1193,192,6,368
1199,193,7,447
1200,193,7,265
1202,193,7,3162
1205,193,7,3339
1209,193,7,108
1214,193,7,465
1220,193,7,18
1227,194,6,2678
1228,194,6,466
1230,194,6,203
1233,194,6,468
1237,194,6,300
1242,194,6,135
1248,195,4,175
1249,195,4,2448
1251,195,4,392
1254,195,4,240
1258,196,7,322
1259,196,7,222
1261,196,7,111
1264,196,7,159
1268,196,7,487
1273,196,7,311
1279,196,7,103
1286,197,6,3086
1287,197,6,323
1289,197,6,3228
1292,197,6,280
1296,197,6,2776
1301,197,6,2567
1307,198,6,166
1308,198,6,18
1310,198,6,62
1313,198,6,459
1317,198,6,81
1322,198,6,463
1328,199,6,162
1329,199,6,324
1331,199,6,85
1334,199,6,2183
1338,199,6,264
1343,199,6,201
1349,200,6,2865
1350,200,6,285
1352,200,6,174
1355,200,6,461
1359,200,6,337
1364,200,6,3496
1370,201,6,401
1371,201,6,461
1373,201,6,187
1376,201,6,310
1380,201,6,2195
1385,201,6,216
1391,202,5,463
1392,202,5,3108
1394,202,5,202
1397,202,5,358
1401,202,5,290
1406,203,5,386
1407,203,5,63
1409,203,5,294
1412,203,5,307
1416,203,5,493
1421,204,6,327
1422,204,6,498
1424,204,6,421
1427,204,6,242
1431,204,6,2429
1436,204,6,434
1442,205,4,190
1443,205,4,180
1445,205,4,282
1448,205,4,382
1452,206,4,389
1453,206,4,61
1455,206,4,296
1458,206,4,96
1462,207,6,69
1463,207,6,336
1465,207,6,3270
1468,207,6,2
1472,207,6,466
1477,207,6,3432
1483,208,6,409
1484,208,6,89
1486,208,6,393
1489,208,6,27
1493,208,6,404
1498,208,6,320
1504,209,7,2735
1505,209,7,407
1507,209,7,310
1510,209,7,3344
1514,209,7,398
1519,209,7,235
1525,209,7,437
1532,210,6,495
1533,210,6,103
1535,210,6,45
1538,210,6,222
1542,210,6,397
1547,210,6,488
1553,211,7,329
1554,211,7,83
1556,211,7,474
1559,211,7,309
1563,211,7,334
1568,211,7,245
1574,211,7,62
1581,212,5,205
1582,212,5,36
1584,212,5,55
1587,212,5,2842
1591,212,5,258
1596,213,5,2694
1597,213,5,143
1599,213,5,245
1602,213,5,184
1606,213,5,72
1611,214,6,336
1612,214,6,304
1614,214,6,321
1617,214,6,237
1621,214,6,314
