,ID-Cliente,Nro Llamadas,ID-Llegada
0,1,3,307
1,1,3,2492
3,1,3,2228
6,2,3,3108
7,2,3,325
9,2,3,3474
12,3,2,41
13,3,2,2661
15,4,2,203
16,4,2,2
18,5,2,253
19,5,2,499
21,6,3,2084
22,6,3,242
24,6,3,150
27,7,2,393
28,7,2,241
30,8,2,256
31,8,2,390
33,11,1,3423
34,13,3,248
35,13,3,2114
37,13,3,92
40,14,3,453
41,14,3,41
43,14,3,2920
46,15,1,2206
47,16,1,33
48,17,2,24
49,17,2,27
51,20,2,494
52,20,2,172
54,21,3,459
55,21,3,219
57,21,3,269
60,22,3,445
61,22,3,126
63,22,3,403
66,23,1,223
67,24,3,448
68,24,3,208
70,24,3,2231
73,26,2,39
74,26,2,278
76,27,1,105
77,28,3,374
78,28,3,252
80,28,3,459
83,29,2,72
84,29,2,10
86,51,3,346
87,51,3,203
89,51,3,165
92,55,3,387
93,55,3,470
95,55,3,2298
98,56,2,2646
99,56,2,146
101,57,1,204
102,58,2,128
103,58,2,173
105,59,3,379
106,59,3,358
108,59,3,2554
111,60,3,342
112,60,3,39
114,60,3,363
117,61,3,451
118,61,3,2934
120,61,3,289
123,62,1,17
124,64,1,58
125,65,1,321
126,66,2,64
127,66,2,3453
129,67,2,3027
130,67,2,72
132,68,2,104
133,68,2,2515
135,69,1,2747
136,70,1,299
137,71,1,492
138,73,3,2241
139,73,3,309
141,73,3,92
144,74,3,2304
145,74,3,266
147,74,3,291
150,75,3,3143
151,75,3,370
153,75,3,268
156,76,1,376
157,77,3,51
158,77,3,470
160,77,3,442
163,78,3,3223
164,78,3,127
166,78,3,178
169,81,3,250
170,81,3,2116
172,81,3,43
175,84,3,3111
176,84,3,294
178,84,3,107
181,85,2,303
182,85,2,456
184,86,3,33
185,86,3,2637
187,86,3,274
190,89,2,112
191,89,2,446
193,90,2,334
194,90,2,2855
196,91,3,177
197,91,3,155
199,91,3,65
202,92,1,283
203,94,2,255
204,94,2,2735
206,96,1,3408
207,97,1,78
208,98,3,180
209,98,3,337
211,98,3,169
214,99,3,327
215,99,3,2534
217,99,3,71
220,101,3,348
221,101,3,388
223,101,3,149
226,102,3,213
227,102,3,42
229,102,3,169
232,104,1,494
233,105,2,174
234,105,2,52
236,108,2,293
237,108,2,362
239,142,2,286
240,142,2,2395
242,144,3,125
243,144,3,39
245,144,3,143
248,145,3,164
249,145,3,2741
251,145,3,13
254,147,3,466
255,147,3,465
257,147,3,264
260,148,2,3303
261,148,2,443
263,150,7,2687
264,150,7,345
266,150,7,415
269,150,7,3457
273,150,7,384
278,150,7,3344
284,150,7,176
291,151,4,240
292,151,4,449
294,151,4,2625
297,151,4,138
301,152,7,201
302,152,7,2761
304,152,7,2780
307,152,7,395
311,152,7,197
316,152,7,110
322,152,7,90
329,153,5,234
330,153,5,234
332,153,5,140
335,153,5,427
339,153,5,151
344,154,7,261
345,154,7,76
347,154,7,303
350,154,7,240
354,154,7,16
359,154,7,55
365,154,7,2576
372,155,5,189
373,155,5,420
375,155,5,54
378,155,5,394
382,155,5,452
387,156,6,379
388,156,6,2137
390,156,6,175
393,156,6,442
397,156,6,247
402,156,6,213
408,157,4,280
409,157,4,156
411,157,4,266
414,157,4,188
418,158,7,2804
419,158,7,451
421,158,7,23
424,158,7,206
428,158,7,90
433,158,7,454
439,158,7,483
446,159,4,156
447,159,4,224
449,159,4,487
452,159,4,139
456,160,7,2943
457,160,7,447
459,160,7,2395
462,160,7,476
466,160,7,312
471,160,7,2814
477,160,7,273
484,161,5,3083
485,161,5,85
487,161,5,256
490,161,5,3078
494,161,5,2023
499,162,5,119
500,162,5,483
502,162,5,2369
505,162,5,2677
509,162,5,252
514,163,5,2938
515,163,5,311
517,163,5,128
520,163,5,2835
524,163,5,2213
529,164,4,335
530,164,4,468
532,164,4,116
535,164,4,344
539,165,6,205
540,165,6,357
542,165,6,325
545,165,6,410
549,165,6,309
554,165,6,450
560,166,4,83
561,166,4,3321
563,166,4,295
566,166,4,3001
570,167,6,46
571,167,6,182
573,167,6,432
576,167,6,42
580,167,6,466
585,167,6,2059
591,168,6,3047
592,168,6,6
594,168,6,431
597,168,6,3200
601,168,6,65
606,168,6,2942
612,169,7,438
613,169,7,338
615,169,7,3287
618,169,7,251
622,169,7,271
627,169,7,406
633,169,7,356
640,170,6,262
641,170,6,7
643,170,6,389
646,170,6,158
650,170,6,2594
655,170,6,125
661,171,6,2365
662,171,6,2684
664,171,6,2823
667,171,6,236
671,171,6,416
676,171,6,466
682,172,7,3156
683,172,7,2918
685,172,7,185
688,172,7,204
692,172,7,2297
697,172,7,491
703,172,7,444
710,173,6,164
711,173,6,244
713,173,6,2389
716,173,6,170
720,173,6,415
725,173,6,488
731,174,4,67
732,174,4,92
734,174,4,248
737,174,4,3004
741,175,6,254
742,175,6,2657
744,175,6,59
747,175,6,5
751,175,6,95
756,175,6,2565
762,176,7,60
763,176,7,327
765,176,7,154
768,176,7,2039
772,176,7,306
777,176,7,408
783,176,7,206
790,177,4,242
791,177,4,433
793,177,4,164
796,177,4,379
800,178,5,2698
801,178,5,3084
803,178,5,496
806,178,5,425
810,178,5,23
815,179,4,367
816,179,4,340
818,179,4,2240
821,179,4,2525
825,180,7,370
826,180,7,2498
828,180,7,341
831,180,7,85
835,180,7,438
840,180,7,2545
846,180,7,13
853,181,7,2387
854,181,7,27
856,181,7,90
859,181,7,2820
863,181,7,471
868,181,7,2200
874,181,7,174
881,182,7,2056
882,182,7,2505
884,182,7,3330
887,182,7,311
891,182,7,342
896,182,7,225
902,182,7,364
909,183,4,196
910,183,4,318
912,183,4,97
915,183,4,381
919,184,5,109
920,184,5,2091
922,184,5,247
925,184,5,265
929,184,5,173
934,185,7,272
935,185,7,164
937,185,7,261
940,185,7,3486
944,185,7,126
949,185,7,364
955,185,7,45
962,186,7,278
963,186,7,67
965,186,7,417
968,186,7,2050
972,186,7,441
977,186,7,283
983,186,7,295
990,187,5,2337
991,187,5,303
993,187,5,146
996,187,5,340
1000,187,5,357
1005,188,6,351
1006,188,6,3470
1008,188,6,269
1011,188,6,366
1015,188,6,248
1020,188,6,498
1026,189,6,2381
1027,189,6,491
1029,189,6,138
1032,189,6,81
1036,189,6,287
1041,189,6,2580
1047,190,4,7
1048,190,4,3314
1050,190,4,2209
1053,190,4,266
1057,191,6,2982
1058,191,6,2859
1060,191,6,372
1063,191,6,122
1067,191,6,2639
1072,191,6,360
1078,192,6,124
1079,192,6,3399
1081,192,6,163
1084,192,6,286
1088,192,6,302
