,ID-Cliente,Nro Llamadas,ID-Llegada
0,1,3,3435
1,1,3,265
3,1,3,3326
6,2,3,282
7,2,3,72
9,2,3,13
12,3,2,2000
13,3,2,2536
15,4,2,327
16,4,2,43
18,5,2,34
19,5,2,127
21,6,3,248
22,6,3,246
24,6,3,250
27,7,2,351
28,7,2,291
30,8,2,3209
31,8,2,26
33,11,1,3138
34,13,3,3471
35,13,3,46
37,13,3,2444
40,14,3,73
41,14,3,154
43,14,3,270
46,15,1,314
47,16,1,319
48,17,2,267
49,17,2,290
51,20,2,273
52,20,2,382
54,21,3,358
55,21,3,3003
57,21,3,55
60,22,3,24
61,22,3,3368
63,22,3,63
66,23,1,174
67,24,3,22
68,24,3,280
70,24,3,244
73,26,2,344
74,26,2,479
76,27,1,13
77,28,3,155
78,28,3,7
80,28,3,318
83,29,2,3251
84,29,2,2960
86,51,3,279
87,51,3,466
89,51,3,2266
92,55,3,171
93,55,3,162
95,55,3,183
98,56,2,391
99,56,2,391
101,57,1,3371
102,58,2,3270
103,58,2,289
105,59,3,283
106,59,3,162
108,59,3,479
111,60,3,387
112,60,3,2179
114,60,3,199
117,61,3,284
118,61,3,354
120,61,3,53
123,62,1,197
124,64,1,377
125,65,1,49
126,66,2,102
127,66,2,375
129,67,2,3129
130,67,2,409
132,68,2,109
133,68,2,42
135,69,1,92
136,70,1,3103
137,71,1,3404
138,73,3,439
139,73,3,96
141,73,3,455
144,74,3,2475
145,74,3,143
147,74,3,375
150,75,3,135
151,75,3,2171
153,75,3,321
156,76,1,180
157,77,3,468
158,77,3,225
160,77,3,342
163,78,3,2587
164,78,3,131
166,78,3,195
169,81,3,3272
170,81,3,3430
172,81,3,287
175,84,3,2798
176,84,3,369
178,84,3,403
181,85,2,330
182,85,2,412
184,86,3,220
185,86,3,2395
187,86,3,415
190,89,2,9
191,89,2,389
193,90,2,3074
194,90,2,306
196,91,3,478
197,91,3,208
199,91,3,357
202,92,1,290
203,94,2,127
204,94,2,152
206,96,1,2950
207,97,1,164
208,98,3,357
209,98,3,357
211,98,3,141
214,99,3,62
215,99,3,159
217,99,3,416
220,101,3,472
221,101,3,156
223,101,3,2919
226,102,3,3404
227,102,3,451
229,102,3,3435
232,104,1,126
233,105,2,3497
234,105,2,136
236,108,2,251
237,108,2,332
239,142,2,3294
240,142,2,145
242,144,3,111
243,144,3,435
245,144,3,17
248,145,3,83
249,145,3,138
251,145,3,2547
254,147,3,43
255,147,3,127
