,ID-Cliente,Nro Llamadas,ID-Llegada
0,1,3,84
1,1,3,2331
3,1,3,3341
6,2,3,2502
7,2,3,477
9,2,3,3011
12,3,2,157
13,3,2,23
15,4,2,219
16,4,2,117
18,5,2,186
19,5,2,36
21,6,3,2326
22,6,3,2866
24,6,3,2680
27,7,2,161
28,7,2,384
30,8,2,296
31,8,2,3365
33,81,3,353
34,81,3,3164
36,81,3,79
39,84,3,2721
40,84,3,420
42,84,3,70
45,85,2,216
46,85,2,2692
48,86,3,132
49,86,3,3439
51,86,3,176
54,89,2,2325
55,89,2,2650
57,90,2,2646
58,90,2,386
60,91,3,348
61,91,3,2891
63,91,3,2427
66,92,1,2081
67,94,2,2602
68,94,2,2357
70,96,1,77
71,97,1,2321
72,98,3,304
73,98,3,329
75,98,3,3263
78,99,3,201
79,99,3,189
81,99,3,2185
84,101,3,2254
85,101,3,2354
87,101,3,391
90,102,3,451
91,102,3,264
93,102,3,446
96,104,1,3180
97,105,2,2588
98,105,2,86
100,108,2,197
101,108,2,233
103,142,2,2463
104,142,2,3177
106,144,3,5
107,144,3,13
109,144,3,156
112,145,3,423
113,145,3,75
115,145,3,272
118,147,3,2737
119,147,3,378
121,147,3,30
124,148,2,2653
125,148,2,2231
127,150,7,154
128,150,7,2776
130,150,7,245
133,150,7,3390
137,150,7,47
142,150,7,2518
148,150,7,3335
155,151,4,343
156,151,4,2518
158,151,4,461
161,151,4,428
165,152,7,2976
166,152,7,136
168,152,7,2893
171,152,7,171
175,152,7,121
180,152,7,2416
186,152,7,2184
193,153,5,30
194,153,5,175
196,153,5,2755
199,153,5,482
203,153,5,3218
208,154,7,3314
209,154,7,182
211,154,7,52
214,154,7,245
218,154,7,348
223,154,7,3215
229,154,7,2054
236,155,5,2514
237,155,5,179
239,155,5,460
242,155,5,2388
246,155,5,2383
251,156,6,446
252,156,6,461
254,156,6,132
257,156,6,146
261,156,6,355
266,156,6,2885
272,157,4,463
273,157,4,131
275,157,4,3197
278,157,4,3457
282,158,7,2793
283,158,7,253
285,158,7,16
288,158,7,206
292,158,7,258
297,158,7,2520
303,158,7,414
310,159,4,236
311,159,4,199
313,159,4,15
316,159,4,2366
