,ID-Cliente,Nro Llamadas,ID-Llegada
0,1,3,53
1,1,3,2924
3,1,3,3072
6,2,3,2172
7,2,3,213
9,2,3,3302
12,3,2,2556
13,3,2,6
15,4,2,2658
16,4,2,2055
18,5,2,31
19,5,2,2446
21,6,3,2773
22,6,3,2148
24,6,3,192
27,7,2,93
28,7,2,2558
30,8,2,186
31,8,2,449
33,81,3,258
34,81,3,455
36,81,3,64
39,84,3,459
40,84,3,3347
42,84,3,3413
45,85,2,3193
46,85,2,2200
48,86,3,428
49,86,3,2142
51,86,3,2530
54,89,2,2666
55,89,2,23
57,90,2,71
58,90,2,2247
60,91,3,416
61,91,3,2420
63,91,3,156
66,92,1,193
67,94,2,2285
68,94,2,304
70,96,1,2539
71,97,1,127
72,98,3,227
73,98,3,435
75,98,3,58
78,99,3,294
79,99,3,29
81,99,3,223
84,101,3,181
85,101,3,179
87,101,3,466
90,102,3,310
91,102,3,414
93,102,3,2125
96,104,1,476
97,105,2,2188
98,105,2,251
100,108,2,128
101,108,2,51
103,142,2,39
104,142,2,2219
106,144,3,386
107,144,3,493
109,144,3,239
112,145,3,2293
113,145,3,488
115,145,3,2870
118,147,3,2905
119,147,3,406
121,147,3,408
124,148,2,463
125,148,2,265
127,150,7,33
128,150,7,297
130,150,7,497
133,150,7,2592
137,150,7,345
142,150,7,3406
148,150,7,326
155,151,4,2957
156,151,4,312
158,151,4,227
161,151,4,2339
165,152,7,2863
166,152,7,66
168,152,7,347
171,152,7,3364
175,152,7,364
180,152,7,425
186,152,7,2268
193,153,5,2301
194,153,5,264
196,153,5,2493
199,153,5,2506
203,153,5,2142
208,154,7,2032
209,154,7,204
211,154,7,375
214,154,7,104
218,154,7,3435
223,154,7,305
229,154,7,2612
236,155,5,224
237,155,5,79
239,155,5,3289
242,155,5,320
246,155,5,2352
251,156,6,3269
252,156,6,51
254,156,6,44
257,156,6,427
261,156,6,230
266,156,6,409
272,157,4,398
273,157,4,467
275,157,4,475
278,157,4,75
282,158,7,2885
283,158,7,214
285,158,7,2584
288,158,7,42
292,158,7,214
297,158,7,71
303,158,7,29
310,159,4,259
311,159,4,3409
313,159,4,2786
316,159,4,115
320,160,7,340
321,160,7,3243
323,160,7,2371
326,160,7,60
330,160,7,130
335,160,7,2216
341,160,7,2198
348,161,5,435
349,161,5,3146
351,161,5,2633
354,161,5,291
358,161,5,2269
363,162,5,322
364,162,5,323
366,162,5,392
369,162,5,467
373,162,5,300
378,163,5,2970
379,163,5,2418
381,163,5,3183
384,163,5,2645
388,163,5,322
393,164,4,3382
394,164,4,269
396,164,4,151
399,164,4,206
403,165,6,33
404,165,6,3459
406,165,6,134
409,165,6,45
413,165,6,114
418,165,6,190
424,166,4,447
425,166,4,386
427,166,4,158
430,166,4,50
434,167,6,3244
435,167,6,467
437,167,6,243
440,167,6,331
444,167,6,82
449,167,6,3334
455,168,6,447
456,168,6,405
458,168,6,219
461,168,6,66
465,168,6,150
470,168,6,205
476,169,7,3406
477,169,7,3073
479,169,7,433
482,169,7,2
486,169,7,2962
491,169,7,4
497,169,7,8
504,170,6,2287
505,170,6,3283
507,170,6,338
510,170,6,2423
514,170,6,395
519,170,6,145
525,171,6,307
526,171,6,165
528,171,6,3322
531,171,6,382
535,171,6,3019
540,171,6,3425
546,172,7,210
547,172,7,320
549,172,7,232
552,172,7,298
556,172,7,257
561,172,7,134
567,172,7,464
574,173,6,217
575,173,6,487
577,173,6,2314
580,173,6,2176
584,173,6,123
589,173,6,472
595,174,4,2481
596,174,4,2428
598,174,4,34
601,174,4,252
605,175,6,3285
606,175,6,2721
608,175,6,444
611,175,6,30
615,175,6,403
620,175,6,22
626,176,7,112
627,176,7,54
629,176,7,2212
632,176,7,2976
636,176,7,348
641,176,7,346
647,176,7,102
654,177,4,3243
655,177,4,396
657,177,4,2397
660,177,4,2417
664,178,5,407
665,178,5,196
667,178,5,320
670,178,5,59
674,178,5,3022
679,179,4,338
680,179,4,177
682,179,4,394
685,179,4,146
689,180,7,20
690,180,7,94
692,180,7,17
695,180,7,2285
699,180,7,392
704,180,7,476
710,180,7,177
717,181,7,13
718,181,7,486
720,181,7,2794
723,181,7,119
727,181,7,2093
732,181,7,496
738,181,7,496
745,182,7,331
746,182,7,2631
748,182,7,3217
751,182,7,473
755,182,7,201
760,182,7,212
766,182,7,2258
773,183,4,231
774,183,4,295
776,183,4,319
779,183,4,477
783,184,5,2168
784,184,5,2033
786,184,5,2981
789,184,5,128
793,184,5,72
798,185,7,358
799,185,7,2677
801,185,7,401
804,185,7,282
808,185,7,426
813,185,7,392
819,185,7,3430
826,186,7,60
827,186,7,3448
829,186,7,164
832,186,7,259
836,186,7,112
841,186,7,457
847,186,7,227
