,ID-Cliente,Nro Llamadas,ID-Llegada
0,1,3,94
1,1,3,3224
3,1,3,474
6,2,3,439
7,2,3,5
9,2,3,3094
12,3,2,2629
13,3,2,260
15,4,2,2942
16,4,2,229
18,5,2,302
19,5,2,321
21,6,3,3360
22,6,3,459
24,6,3,3032
27,7,2,299
28,7,2,2434
30,8,2,206
31,8,2,333
33,11,1,44
34,13,3,2417
35,13,3,247
37,13,3,182
40,14,3,91
41,14,3,125
43,14,3,40
46,15,1,368
47,16,1,355
48,17,2,2068
49,17,2,415
51,20,2,2078
52,20,2,467
54,21,3,411
55,21,3,447
57,21,3,2443
60,22,3,380
61,22,3,3149
63,22,3,95
66,23,1,2236
67,24,3,2648
68,24,3,75
70,24,3,22
73,26,2,322
74,26,2,266
76,27,1,492
77,28,3,15
78,28,3,2172
80,28,3,62
83,29,2,264
84,29,2,3254
86,51,3,31
87,51,3,108
89,51,3,113
92,55,3,463
93,55,3,53
95,55,3,265
98,56,2,355
99,56,2,3078
101,57,1,272
102,58,2,168
103,58,2,2555
105,59,3,175
106,59,3,128
108,59,3,478
111,60,3,471
112,60,3,119
114,60,3,2416
117,61,3,393
118,61,3,2823
120,61,3,366
123,62,1,50
124,64,1,245
125,65,1,97
126,66,2,194
127,66,2,145
129,67,2,2321
130,67,2,157
132,68,2,184
133,68,2,2281
135,69,1,246
136,70,1,89
137,71,1,403
138,73,3,392
139,73,3,201
141,73,3,425
144,74,3,2654
145,74,3,2429
147,74,3,3337
150,75,3,249
151,75,3,375
153,75,3,3023
156,76,1,2365
157,77,3,3403
158,77,3,347
160,77,3,3106
163,78,3,390
164,78,3,223
166,78,3,2761
169,81,3,3288
170,81,3,10
172,81,3,436
175,84,3,309
176,84,3,136
178,84,3,334
181,85,2,364
182,85,2,488
184,86,3,355
185,86,3,429
187,86,3,2107
190,89,2,3131
191,89,2,35
193,90,2,107
194,90,2,118
196,91,3,489
197,91,3,3091
199,91,3,397
202,92,1,100
203,94,2,2722
204,94,2,263
206,96,1,71
207,97,1,87
208,98,3,31
209,98,3,496
211,98,3,270
214,99,3,2469
215,99,3,384
217,99,3,34
220,101,3,84
221,101,3,60
223,101,3,299
226,102,3,2885
227,102,3,3312
229,102,3,307
232,104,1,174
233,105,2,2483
234,105,2,493
236,108,2,455
237,108,2,83
239,142,2,2781
240,142,2,2205
242,144,3,442
243,144,3,419
245,144,3,273
248,145,3,139
249,145,3,296
251,145,3,205
254,147,3,181
255,147,3,2217
257,147,3,92
260,148,2,445
261,148,2,2766
263,150,7,106
264,150,7,427
266,150,7,382
269,150,7,2136
273,150,7,2781
278,150,7,317
284,150,7,75
291,151,4,290
292,151,4,2538
294,151,4,2328
297,151,4,314
301,152,7,357
302,152,7,2361
304,152,7,46
307,152,7,2995
311,152,7,386
316,152,7,139
322,152,7,3196
329,153,5,3189
330,153,5,3127
332,153,5,322
335,153,5,62
339,153,5,115
344,154,7,2929
345,154,7,25
347,154,7,3067
350,154,7,403
354,154,7,202
359,154,7,72
365,154,7,469
372,155,5,315
373,155,5,190
375,155,5,172
378,155,5,348
382,155,5,3463
387,156,6,45
388,156,6,379
390,156,6,2907
393,156,6,420
397,156,6,170
402,156,6,2343
408,157,4,2103
409,157,4,178
411,157,4,2879
414,157,4,346
418,158,7,82
419,158,7,2669
421,158,7,355
424,158,7,282
428,158,7,3261
433,158,7,366
439,158,7,364
446,159,4,272
447,159,4,346
449,159,4,243
452,159,4,3056
456,160,7,35
457,160,7,2309
459,160,7,378
462,160,7,2268
466,160,7,389
471,160,7,23
477,160,7,217
484,161,5,411
485,161,5,49
487,161,5,3456
490,161,5,2025
494,161,5,133
499,162,5,2505
500,162,5,18
502,162,5,2314
505,162,5,3490
509,162,5,3141
514,163,5,177
515,163,5,3441
517,163,5,158
520,163,5,34
524,163,5,411
529,164,4,278
530,164,4,2514
532,164,4,233
535,164,4,385
539,165,6,92
540,165,6,471
542,165,6,183
545,165,6,345
549,165,6,6
554,165,6,174
560,166,4,194
561,166,4,24
563,166,4,158
566,166,4,338
570,167,6,97
571,167,6,3185
573,167,6,3258
576,167,6,355
580,167,6,265
585,167,6,2678
591,168,6,317
592,168,6,2080
594,168,6,2476
597,168,6,238
601,168,6,306
606,168,6,2453
612,169,7,423
613,169,7,3254
615,169,7,77
618,169,7,153
622,169,7,3461
627,169,7,215
633,169,7,344
640,170,6,109
641,170,6,2159
643,170,6,3100
646,170,6,446
650,170,6,440
655,170,6,2270
661,171,6,131
662,171,6,491
664,171,6,3013
667,171,6,3076
671,171,6,120
676,171,6,151
682,172,7,2899
683,172,7,108
685,172,7,299
688,172,7,134
692,172,7,2265
697,172,7,335
703,172,7,190
710,173,6,236
711,173,6,142
713,173,6,89
716,173,6,3143
720,173,6,128
725,173,6,499
731,174,4,458
732,174,4,275
734,174,4,191
737,174,4,3127
741,175,6,10
742,175,6,309
744,175,6,304
747,175,6,2210
751,175,6,433
756,175,6,183
762,176,7,2797
763,176,7,395
765,176,7,59
768,176,7,498
772,176,7,343
777,176,7,160
783,176,7,13
790,177,4,321
791,177,4,2180
793,177,4,2332
796,177,4,2909
800,178,5,2033
801,178,5,319
803,178,5,188
806,178,5,176
810,178,5,471
815,179,4,360
816,179,4,257
818,179,4,422
821,179,4,169
825,180,7,353
826,180,7,238
828,180,7,373
831,180,7,2977
835,180,7,2889
840,180,7,40
846,180,7,210
853,181,7,400
854,181,7,283
856,181,7,209
859,181,7,2382
863,181,7,56
868,181,7,2942
874,181,7,378
881,182,7,60
882,182,7,207
884,182,7,478
887,182,7,124
891,182,7,397
896,182,7,480
902,182,7,118
909,183,4,366
910,183,4,43
912,183,4,124
915,183,4,279
919,184,5,179
920,184,5,3141
922,184,5,44
925,184,5,2623
929,184,5,398
934,185,7,499
935,185,7,402
937,185,7,264
940,185,7,143
944,185,7,445
949,185,7,277
955,185,7,40
962,186,7,2
963,186,7,446
965,186,7,244
968,186,7,12
972,186,7,269
977,186,7,2047
983,186,7,336
990,187,5,170
991,187,5,418
993,187,5,287
996,187,5,295
1000,187,5,162
1005,188,6,38
1006,188,6,2059
1008,188,6,237
1011,188,6,46
1015,188,6,2921
1020,188,6,3050
1026,189,6,3489
1027,189,6,329
1029,189,6,23
1032,189,6,36
1036,189,6,283
1041,189,6,3262
1047,190,4,323
1048,190,4,3417
1050,190,4,2673
1053,190,4,344
1057,191,6,353
1058,191,6,175
1060,191,6,2390
1063,191,6,2884
1067,191,6,122
1072,191,6,247
1078,192,6,377
1079,192,6,218
1081,192,6,115
1084,192,6,2930
1088,192,6,2989
1093,192,6,2352
1099,193,7,2745
1100,193,7,281
1102,193,7,8
1105,193,7,2842
1109,193,7,2391
1114,193,7,357
1120,193,7,2779
1127,194,6,419
1128,194,6,337
1130,194,6,59
1133,194,6,205
1137,194,6,2147
1142,194,6,65
1148,195,4,158
1149,195,4,499
1151,195,4,2269
1154,195,4,364
1158,196,7,144
1159,196,7,486
1161,196,7,80
1164,196,7,65
1168,196,7,319
1173,196,7,463
1179,196,7,411
1186,197,6,16
1187,197,6,3065
1189,197,6,80
1192,197,6,2713
1196,197,6,449
1201,197,6,3317
1207,198,6,499
1208,198,6,409
1210,198,6,313
1213,198,6,3413
1217,198,6,3443
1222,198,6,3299
1228,199,6,181
1229,199,6,273
1231,199,6,189
1234,199,6,239
1238,199,6,2593
1243,199,6,143
1249,200,6,488
1250,200,6,259
1252,200,6,356
1255,200,6,76
1259,200,6,140
1264,200,6,89
1270,201,6,6
1271,201,6,3402
1273,201,6,419
1276,201,6,210
1280,201,6,345
1285,201,6,34
1291,202,5,3229
1292,202,5,3098
1294,202,5,260
1297,202,5,2570
1301,202,5,70
1306,203,5,176
1307,203,5,304
1309,203,5,131
1312,203,5,2616
1316,203,5,2778
1321,204,6,64
1322,204,6,95
1324,204,6,328
1327,204,6,265
1331,204,6,225
1336,204,6,2698
1342,205,4,288
1343,205,4,190
1345,205,4,2470
1348,205,4,185
1352,206,4,2058
1353,206,4,367
1355,206,4,2630
1358,206,4,3235
1362,207,6,20
1363,207,6,256
1365,207,6,274
1368,207,6,193
1372,207,6,3018
1377,207,6,9
1383,208,6,149
1384,208,6,461
1386,208,6,459
1389,208,6,123
1393,208,6,2510
1398,208,6,218
1404,209,7,336
1405,209,7,221
1407,209,7,3014
1410,209,7,2149
1414,209,7,284
1419,209,7,3234
1425,209,7,19
1432,210,6,379
1433,210,6,2714
1435,210,6,112
1438,210,6,272
1442,210,6,2329
1447,210,6,294
1453,211,7,217
1454,211,7,2300
1456,211,7,16
1459,211,7,414
1463,211,7,268
1468,211,7,406
1474,211,7,369
1481,212,5,97
1482,212,5,3087
1484,212,5,248
1487,212,5,490
1491,212,5,190
1496,213,5,2492
1497,213,5,3134
1499,213,5,279
1502,213,5,337
1506,213,5,29
1511,214,6,456
1512,214,6,2045
1514,214,6,2041
1517,214,6,193
1521,214,6,2027
1526,214,6,64
1532,215,5,403
1533,215,5,109
1535,215,5,2609
1538,215,5,3164
1542,215,5,251
1547,216,7,2115
1548,216,7,331
1550,216,7,286
1553,216,7,2458
1557,216,7,2369
1562,216,7,413
1568,216,7,423
1575,217,4,20
1576,217,4,407
1578,217,4,126
1581,217,4,273
1585,218,5,111
1586,218,5,3110
1588,218,5,18
1591,218,5,41
1595,218,5,3472
1600,219,5,2117
1601,219,5,60
1603,219,5,488
1606,219,5,107
1610,219,5,283
1615,220,6,216
1616,220,6,2441
1618,220,6,494
1621,220,6,2181
1625,220,6,189
1630,220,6,10
1636,221,6,286
1637,221,6,345
1639,221,6,3372
1642,221,6,57
1646,221,6,472
1651,221,6,21
1657,222,6,2490
1658,222,6,89
1660,222,6,2770
1663,222,6,2239
1667,222,6,342
1672,222,6,2831
1678,223,5,20
1679,223,5,25
1681,223,5,402
1684,223,5,418
1688,223,5,2960
1693,224,7,3437
1694,224,7,255
1696,224,7,3430
1699,224,7,371
1703,224,7,320
1708,224,7,122
1714,224,7,336
1721,225,7,3489
1722,225,7,86
1724,225,7,134
1727,225,7,2342
1731,225,7,2693
1736,225,7,49
1742,225,7,102
1749,226,5,2097
1750,226,5,85
1752,226,5,3178
1755,226,5,2592
1759,226,5,2974
1764,227,4,389
1765,227,4,2080
1767,227,4,3087
1770,227,4,232
1774,228,7,172
1775,228,7,421
1777,228,7,192
1780,228,7,2574
1784,228,7,420
1789,228,7,2938
1795,228,7,2115
1802,229,7,2434
1803,229,7,2046
1805,229,7,68
1808,229,7,2805
1812,229,7,190
1817,229,7,17
1823,229,7,343
1830,230,7,363
1831,230,7,481
1833,230,7,231
1836,230,7,3041
1840,230,7,459
1845,230,7,2908
1851,230,7,3013
1858,231,6,402
1859,231,6,170
1861,231,6,3106
1864,231,6,3033
1868,231,6,2432
1873,231,6,371
1879,232,6,2688
1880,232,6,2889
1882,232,6,340
1885,232,6,405
1889,232,6,414
1894,232,6,3266
1900,233,7,453
1901,233,7,99
1903,233,7,3266
1906,233,7,231
1910,233,7,197
1915,233,7,355
1921,233,7,185
1928,234,5,1
1929,234,5,328
1931,234,5,430
1934,234,5,108
1938,234,5,2825
1943,235,7,493
1944,235,7,407
1946,235,7,102
1949,235,7,260
1953,235,7,112
1958,235,7,360
1964,235,7,184
1971,236,4,106
1972,236,4,472
1974,236,4,106
1977,236,4,2908
1981,237,6,329
1982,237,6,2404
1984,237,6,196
1987,237,6,157
1991,237,6,2218
1996,237,6,446
2002,238,5,97
2003,238,5,466
2005,238,5,2532
2008,238,5,227
2012,238,5,3296
2017,239,5,3198
2018,239,5,388
2020,239,5,3408
2023,239,5,59
2027,239,5,52
2032,240,6,460
2033,240,6,2936
2035,240,6,259
2038,240,6,302
2042,240,6,422
2047,240,6,206
2053,241,7,70
2054,241,7,61
2056,241,7,32
2059,241,7,192
2063,241,7,152
2068,241,7,26
2074,241,7,446
2081,242,6,203
2082,242,6,388
2084,242,6,3230
2087,242,6,3017
2091,242,6,14
2096,242,6,3109
2102,243,5,3078
2103,243,5,143
2105,243,5,496
2108,243,5,2462
2112,243,5,23
2117,244,4,2470
2118,244,4,2961
2120,244,4,244
2123,244,4,2736
2127,245,5,95
2128,245,5,400
2130,245,5,465
2133,245,5,444
2137,245,5,383
2142,246,4,2388
2143,246,4,441
2145,246,4,214
2148,246,4,449
2152,247,6,256
2153,247,6,248
2155,247,6,3145
2158,247,6,38
2162,247,6,2818
2167,247,6,442
2173,248,7,252
2174,248,7,83
2176,248,7,473
2179,248,7,212
2183,248,7,34
2188,248,7,449
2194,248,7,396
2201,249,5,277
2202,249,5,3100
2204,249,5,313
2207,249,5,220
2211,249,5,410
2216,250,6,481
2217,250,6,3466
2219,250,6,37
2222,250,6,15
2226,250,6,2164
2231,250,6,164
2237,251,5,3445
2238,251,5,3476
2240,251,5,366
2243,251,5,171
2247,251,5,2413
2252,252,5,248
2253,252,5,9
2255,252,5,462
2258,252,5,121
2262,252,5,76
2267,253,5,488
2268,253,5,144
2270,253,5,298
2273,253,5,339
2277,253,5,281
2282,254,4,226
2283,254,4,413
2285,254,4,2080
2288,254,4,498
2292,255,6,169
2293,255,6,461
2295,255,6,289
2298,255,6,309
2302,255,6,437
2307,255,6,2068
2313,256,7,413
2314,256,7,404
2316,256,7,2073
2319,256,7,161
2323,256,7,354
2328,256,7,397
2334,256,7,300
2341,257,7,184
2342,257,7,475
2344,257,7,182
2347,257,7,261
2351,257,7,462
