,ID-Cliente,Nro Llamadas,ID-Llegada
0,1,3,65
1,1,3,312
3,1,3,3362
6,2,3,328
7,2,3,3356
9,2,3,177
12,3,2,195
13,3,2,7
15,4,2,186
16,4,2,3376
18,5,2,208
19,5,2,168
21,6,3,39
22,6,3,175
24,6,3,167
27,7,2,81
28,7,2,119
30,8,2,313
31,8,2,2707
33,81,3,40
34,81,3,277
36,81,3,3455
39,84,3,370
40,84,3,427
42,84,3,3267
45,85,2,3252
46,85,2,3420
48,86,3,381
49,86,3,3361
51,86,3,2956
54,89,2,2889
55,89,2,342
57,90,2,3130
58,90,2,80
60,91,3,2733
61,91,3,85
63,91,3,414
66,92,1,334
67,94,2,324
68,94,2,3443
70,96,1,95
71,97,1,3473
72,98,3,2947
73,98,3,2514
75,98,3,189
78,99,3,401
79,99,3,3323
81,99,3,2103
84,101,3,2716
85,101,3,312
87,101,3,286
90,102,3,2339
91,102,3,3311
93,102,3,402
96,104,1,348
97,105,2,2289
98,105,2,41
100,108,2,2048
101,108,2,2265
103,142,2,484
104,142,2,474
106,144,3,173
107,144,3,47
109,144,3,87
112,145,3,213
113,145,3,293
115,145,3,459
118,147,3,44
119,147,3,394
121,147,3,2810
124,148,2,268
125,148,2,303
127,150,7,219
128,150,7,27
130,150,7,3369
133,150,7,472
137,150,7,3492
142,150,7,271
148,150,7,2941
155,151,4,54
156,151,4,2404
158,151,4,37
161,151,4,196
165,152,7,411
166,152,7,329
168,152,7,296
171,152,7,380
175,152,7,372
180,152,7,224
186,152,7,211
193,153,5,424
194,153,5,180
196,153,5,17
199,153,5,2521
203,153,5,450
208,154,7,200
209,154,7,3301
211,154,7,2062
214,154,7,451
218,154,7,2283
223,154,7,2507
229,154,7,2860
236,155,5,186
237,155,5,331
239,155,5,2653
242,155,5,2288
246,155,5,2568
251,156,6,2033
252,156,6,154
254,156,6,2897
257,156,6,497
261,156,6,134
266,156,6,98
272,157,4,3443
273,157,4,451
275,157,4,455
278,157,4,490
282,158,7,3239
283,158,7,2070
285,158,7,247
288,158,7,351
292,158,7,2610
297,158,7,421
303,158,7,2005
310,159,4,490
311,159,4,349
313,159,4,191
316,159,4,2114
320,160,7,2241
321,160,7,429
323,160,7,2920
326,160,7,25
330,160,7,3445
335,160,7,173
341,160,7,81
348,161,5,426
349,161,5,23
351,161,5,398
354,161,5,434
358,161,5,255
363,162,5,91
364,162,5,3207
366,162,5,3066
369,162,5,119
373,162,5,2330
378,163,5,220
379,163,5,2199
381,163,5,177
384,163,5,231
388,163,5,324
393,164,4,246
394,164,4,16
396,164,4,397
399,164,4,301
403,165,6,2769
404,165,6,363
406,165,6,3452
409,165,6,469
413,165,6,423
418,165,6,419
424,166,4,31
425,166,4,2620
427,166,4,154
430,166,4,2561
434,167,6,301
435,167,6,85
437,167,6,3353
440,167,6,2140
444,167,6,449
449,167,6,68
455,168,6,160
456,168,6,3422
458,168,6,2009
461,168,6,3333
465,168,6,97
470,168,6,63
476,169,7,89
477,169,7,377
479,169,7,409
482,169,7,165
486,169,7,317
491,169,7,2882
497,169,7,3109
504,170,6,23
505,170,6,2404
507,170,6,259
510,170,6,294
514,170,6,273
519,170,6,346
525,171,6,176
526,171,6,2710
528,171,6,2341
531,171,6,439
535,171,6,2066
540,171,6,2866
546,172,7,294
547,172,7,109
549,172,7,433
552,172,7,150
556,172,7,178
561,172,7,365
567,172,7,2771
574,173,6,323
575,173,6,333
577,173,6,481
580,173,6,3354
584,173,6,3141
589,173,6,2826
595,174,4,460
596,174,4,69
