,ID-Cliente,Nro Llamadas,ID-Llegada
0,1,3,478
1,1,3,477
3,1,3,2184
6,2,3,3107
7,2,3,5
9,2,3,2165
12,3,2,63
13,3,2,3116
15,4,2,125
16,4,2,471
18,5,2,3146
19,5,2,120
21,6,3,3237
22,6,3,169
24,6,3,404
27,7,2,105
28,7,2,317
30,8,2,436
31,8,2,363
33,11,1,51
34,13,3,343
35,13,3,2015
37,13,3,334
40,14,3,379
41,14,3,2695
43,14,3,146
46,15,1,183
47,16,1,11
48,17,2,441
49,17,2,344
51,20,2,281
52,20,2,83
54,21,3,3149
55,21,3,335
57,21,3,2521
60,22,3,351
61,22,3,90
63,22,3,441
66,23,1,385
67,24,3,122
68,24,3,138
70,24,3,276
73,26,2,364
74,26,2,403
76,27,1,249
77,28,3,157
78,28,3,271
80,28,3,13
83,29,2,465
84,29,2,439
86,51,3,193
87,51,3,171
89,51,3,183
92,55,3,223
93,55,3,387
95,55,3,248
98,56,2,169
99,56,2,99
101,57,1,51
102,58,2,18
103,58,2,2477
105,59,3,90
106,59,3,292
108,59,3,357
111,60,3,305
112,60,3,307
114,60,3,3410
117,61,3,102
118,61,3,408
120,61,3,270
123,62,1,70
124,64,1,432
125,65,1,2567
126,66,2,3182
127,66,2,314
129,67,2,222
130,67,2,485
132,68,2,19
133,68,2,5
135,69,1,3003
136,70,1,2859
137,71,1,2957
138,73,3,290
139,73,3,183
141,73,3,103
144,74,3,2686
145,74,3,2714
147,74,3,116
150,75,3,403
151,75,3,455
153,75,3,143
156,76,1,2282
157,77,3,462
158,77,3,353
160,77,3,318
163,78,3,3357
164,78,3,265
166,78,3,70
169,81,3,333
170,81,3,64
172,81,3,207
175,84,3,120
176,84,3,201
178,84,3,98
181,85,2,1
182,85,2,2252
184,86,3,158
185,86,3,137
187,86,3,451
190,89,2,340
191,89,2,384
193,90,2,234
194,90,2,336
196,91,3,263
197,91,3,37
199,91,3,311
202,92,1,180
203,94,2,3029
204,94,2,361
206,96,1,285
207,97,1,488
208,98,3,419
209,98,3,155
211,98,3,3379
214,99,3,467
215,99,3,492
217,99,3,257
220,101,3,72
221,101,3,363
223,101,3,406
226,102,3,167
227,102,3,106
229,102,3,387
232,104,1,251
233,105,2,2939
234,105,2,285
236,108,2,2044
237,108,2,3387
239,109,2,2674
240,109,2,2201
242,110,1,391
243,111,3,177
244,111,3,147
246,111,3,291
249,112,2,3247
250,112,2,111
252,113,2,169
253,113,2,281
255,114,3,481
256,114,3,74
258,114,3,210
261,115,1,387
262,117,3,49
263,117,3,156
265,117,3,2788
268,119,3,204
269,119,3,139
271,119,3,2015
274,120,2,297
275,120,2,303
277,121,1,87
278,122,1,10
279,123,3,6
280,123,3,124
