,ID-Cliente,Nro Llamadas,ID-Llegada
0,1,3,99
1,1,3,189
3,1,3,441
6,2,3,25
7,2,3,119
9,2,3,148
12,3,2,348
13,3,2,268
15,4,2,401
16,4,2,3214
18,5,2,499
19,5,2,12
21,6,3,470
22,6,3,3073
24,6,3,189
27,7,2,311
28,7,2,2804
30,8,2,3249
31,8,2,213
33,11,1,164
34,13,3,110
35,13,3,499
37,13,3,109
40,14,3,392
41,14,3,289
43,14,3,437
46,15,1,2358
47,16,1,231
48,17,2,2277
49,17,2,3180
51,20,2,2129
52,20,2,436
54,21,3,162
55,21,3,186
57,21,3,2926
60,22,3,132
61,22,3,361
63,22,3,171
66,23,1,2645
67,24,3,277
68,24,3,253
70,24,3,247
73,26,2,2100
74,26,2,2234
76,27,1,3090
77,28,3,208
78,28,3,2130
80,28,3,399
83,29,2,295
84,29,2,492
86,51,3,248
87,51,3,346
89,51,3,3427
92,55,3,100
93,55,3,225
95,55,3,27
98,56,2,367
99,56,2,441
101,57,1,3159
102,58,2,234
103,58,2,3006
105,59,3,2622
106,59,3,2835
108,59,3,385
111,60,3,251
112,60,3,3479
114,60,3,290
117,61,3,144
118,61,3,485
120,61,3,302
123,62,1,10
124,64,1,97
125,65,1,195
126,66,2,77
127,66,2,295
129,67,2,419
130,67,2,483
132,68,2,67
133,68,2,426
135,69,1,99
136,70,1,181
137,71,1,2331
138,73,3,455
139,73,3,2414
141,73,3,343
144,74,3,264
145,74,3,8
147,74,3,169
150,75,3,2877
151,75,3,2615
153,75,3,2619
156,76,1,156
157,77,3,120
158,77,3,143
160,77,3,3241
163,78,3,385
164,78,3,177
166,78,3,64
169,81,3,3143
170,81,3,69
172,81,3,373
175,84,3,2662
176,84,3,91
178,84,3,464
181,85,2,268
182,85,2,120
184,86,3,198
185,86,3,220
187,86,3,2844
190,89,2,217
191,89,2,411
193,90,2,485
194,90,2,251
196,91,3,376
197,91,3,208
199,91,3,201
202,92,1,301
203,94,2,3338
204,94,2,2166
206,96,1,321
207,97,1,381
208,98,3,226
209,98,3,2273
211,98,3,38
214,99,3,285
215,99,3,22
217,99,3,35
220,101,3,415
221,101,3,48
