,ID-Cliente,Nro Llamadas,ID-Llegada
0,1,3,212
1,1,3,387
3,1,3,293
6,2,3,263
7,2,3,424
9,2,3,3201
12,3,2,2041
13,3,2,34
15,4,2,340
16,4,2,2997
18,5,2,31
19,5,2,346
21,6,3,97
22,6,3,397
24,6,3,189
27,7,2,492
28,7,2,34
30,8,2,374
31,8,2,189
33,11,1,17
34,13,3,104
35,13,3,2065
37,13,3,256
40,14,3,274
41,14,3,191
43,14,3,62
46,15,1,54
47,16,1,3108
48,17,2,487
49,17,2,150
51,20,2,265
52,20,2,216
54,21,3,437
55,21,3,2347
57,21,3,2730
60,22,3,84
61,22,3,56
63,22,3,47
66,23,1,162
67,24,3,2519
68,24,3,116
70,24,3,3120
73,26,2,7
74,26,2,93
76,27,1,326
77,28,3,238
78,28,3,403
80,28,3,397
83,29,2,113
84,29,2,324
86,51,3,446
87,51,3,449
89,51,3,408
92,55,3,2741
93,55,3,367
95,55,3,262
98,56,2,89
99,56,2,313
101,57,1,2070
102,58,2,39
103,58,2,358
105,59,3,18
106,59,3,3042
108,59,3,157
111,60,3,145
112,60,3,352
114,60,3,407
117,61,3,433
118,61,3,198
120,61,3,244
123,62,1,468
124,64,1,191
125,65,1,486
126,66,2,317
127,66,2,443
129,67,2,152
130,67,2,261
132,68,2,142
133,68,2,269
135,69,1,340
136,70,1,269
137,71,1,2992
138,73,3,137
139,73,3,287
141,73,3,441
144,74,3,272
145,74,3,223
147,74,3,2483
150,75,3,3394
151,75,3,355
153,75,3,2214
156,76,1,114
157,77,3,89
158,77,3,2007
160,77,3,142
163,78,3,214
164,78,3,361
166,78,3,207
169,81,3,384
170,81,3,448
172,81,3,432
175,84,3,67
176,84,3,298
178,84,3,28
181,85,2,168
182,85,2,24
184,86,3,33
185,86,3,77
187,86,3,329
190,89,2,2041
191,89,2,295
193,90,2,6
194,90,2,482
196,91,3,156
197,91,3,3212
199,91,3,2531
202,92,1,105
203,94,2,228
204,94,2,2860
206,96,1,68
207,97,1,336
208,98,3,94
209,98,3,172
211,98,3,469
214,99,3,415
215,99,3,54
217,99,3,95
220,101,3,499
221,101,3,87
223,101,3,14
226,102,3,2947
227,102,3,288
229,102,3,431
232,104,1,251
233,105,2,280
234,105,2,409
236,108,2,2661
237,108,2,3338
239,109,2,254
240,109,2,430
242,110,1,233
243,111,3,364
244,111,3,344
246,111,3,169
249,112,2,466
250,112,2,389
252,113,2,81
253,113,2,246
255,114,3,380
256,114,3,159
258,114,3,2096
261,115,1,345
262,117,3,418
263,117,3,402
265,117,3,207
268,119,3,38
269,119,3,10
271,119,3,2328
274,120,2,2188
275,120,2,312
277,121,1,499
278,122,1,468
279,123,3,217
280,123,3,2917
282,123,3,61
285,124,1,3052
286,125,2,250
287,125,2,2403
289,126,3,383
290,126,3,2869
292,126,3,23
295,127,3,284
296,127,3,444
298,127,3,2853
301,128,2,219
302,128,2,458
304,129,2,268
305,129,2,483
307,130,3,2137
308,130,3,200
310,130,3,306
313,131,2,214
314,131,2,141
316,133,3,208
317,133,3,461
319,133,3,362
322,135,2,211
323,135,2,356
325,136,1,149
326,137,2,476
327,137,2,169
329,138,1,364
330,139,3,94
331,139,3,158
333,139,3,3327
336,140,2,3245
337,140,2,2258
339,142,2,332
340,142,2,252
342,144,3,12
343,144,3,42
345,144,3,8
348,145,3,3119
349,145,3,349
351,145,3,284
354,147,3,29
355,147,3,246
357,147,3,119
360,148,2,122
361,148,2,176
363,150,7,117
364,150,7,446
366,150,7,391
369,150,7,236
373,150,7,32
378,150,7,87
384,150,7,103
391,151,4,331
392,151,4,236
394,151,4,67
397,151,4,163
401,152,7,228
402,152,7,281
404,152,7,364
407,152,7,380
411,152,7,195
416,152,7,305
422,152,7,185
429,153,5,243
430,153,5,2834
432,153,5,339
435,153,5,39
439,153,5,240
444,154,7,189
445,154,7,27
447,154,7,149
450,154,7,2459
454,154,7,285
459,154,7,34
465,154,7,196
472,155,5,345
473,155,5,408
475,155,5,3016
478,155,5,435
482,155,5,2988
487,156,6,2632
488,156,6,359
490,156,6,2362
493,156,6,97
497,156,6,144
502,156,6,78
508,157,4,490
509,157,4,278
511,157,4,3073
514,157,4,131
518,158,7,314
519,158,7,390
521,158,7,368
524,158,7,358
528,158,7,3349
533,158,7,368
539,158,7,2908
546,159,4,234
547,159,4,268
549,159,4,451
552,159,4,117
556,160,7,3233
557,160,7,273
559,160,7,356
562,160,7,225
566,160,7,166
571,160,7,2994
577,160,7,383
584,161,5,437
585,161,5,3191
587,161,5,360
590,161,5,242
594,161,5,358
599,162,5,3442
600,162,5,258
602,162,5,401
605,162,5,2832
609,162,5,54
614,163,5,3070
615,163,5,451
617,163,5,402
620,163,5,352
624,163,5,50
629,164,4,327
630,164,4,245
632,164,4,33
635,164,4,461
639,165,6,434
640,165,6,2639
642,165,6,463
645,165,6,272
649,165,6,238
654,165,6,2273
660,166,4,261
661,166,4,188
663,166,4,81
666,166,4,24
670,167,6,234
671,167,6,13
673,167,6,278
676,167,6,252
680,167,6,2167
685,167,6,2812
691,168,6,3272
692,168,6,12
694,168,6,287
697,168,6,53
701,168,6,376
706,168,6,493
712,169,7,352
713,169,7,336
715,169,7,3099
718,169,7,3346
722,169,7,360
727,169,7,351
733,169,7,111
740,170,6,489
741,170,6,75
743,170,6,388
746,170,6,43
750,170,6,329
755,170,6,2902
761,171,6,119
762,171,6,412
764,171,6,355
767,171,6,150
771,171,6,421
776,171,6,3019
782,172,7,25
783,172,7,28
785,172,7,298
788,172,7,121
792,172,7,257
797,172,7,245
803,172,7,477
810,173,6,61
811,173,6,302
813,173,6,71
816,173,6,3365
820,173,6,270
825,173,6,231
831,174,4,363
832,174,4,86
834,174,4,78
