"EdgeBetweenness","interaction","name","Nro Llamadas","selected","shared interaction","shared name"
"35969.698412698206","interacts with","1500 (interacts with) 1337","22","false","interacts with","1500 (interacts with) 1337"
"1630377.8630952458","interacts with","1500 (interacts with) 1437","22","false","interacts with","1500 (interacts with) 1437"
"19371.66666666665","interacts with","1500 (interacts with) 1009","22","false","interacts with","1500 (interacts with) 1009"
"94401.69642857173","interacts with","1500 (interacts with) 1457","22","false","interacts with","1500 (interacts with) 1457"
"54686.652777777344","interacts with","1500 (interacts with) 1228","22","false","interacts with","1500 (interacts with) 1228"
"41340.68452380883","interacts with","1500 (interacts with) 1128","22","false","interacts with","1500 (interacts with) 1128"
"156494.22023809803","interacts with","1500 (interacts with) 1434","22","false","interacts with","1500 (interacts with) 1434"
"86171.86507936529","interacts with","1500 (interacts with) 1332","22","false","interacts with","1500 (interacts with) 1332"
"985.0","interacts with","1500 (interacts with) 2980","22","false","interacts with","1500 (interacts with) 2980"
"8372.5","interacts with","1500 (interacts with) 1032","22","false","interacts with","1500 (interacts with) 1032"
"985.0","interacts with","1500 (interacts with) 1163","22","false","interacts with","1500 (interacts with) 1163"
"2955.0","interacts with","1500 (interacts with) 1130","22","false","interacts with","1500 (interacts with) 1130"
"17483.75","interacts with","1500 (interacts with) 1328","22","false","interacts with","1500 (interacts with) 1328"
"69268.17063491992","interacts with","1500 (interacts with) 1140","22","false","interacts with","1500 (interacts with) 1140"
"985.0","interacts with","1500 (interacts with) 1089","22","false","interacts with","1500 (interacts with) 1089"
"92432.0873015865","interacts with","1500 (interacts with) 1407","22","false","interacts with","1500 (interacts with) 1407"
"985.0","interacts with","1500 (interacts with) 1002","22","false","interacts with","1500 (interacts with) 1002"
"3940.0","interacts with","1500 (interacts with) 1015","22","false","interacts with","1500 (interacts with) 1015"
"985.0","interacts with","1500 (interacts with) 1067","22","false","interacts with","1500 (interacts with) 1067"
"985.0","interacts with","1500 (interacts with) 1154","22","false","interacts with","1500 (interacts with) 1154"
